Subject,Event Type,Title,Location,Event Date,AMO Pillar,Description,Attachment
High Performance Materials,Workshop,Day 4: Semiconductor R&D for Energy Efficiency: Workshop 4 - Advanced Packaging for Energy Efficient Microelectronics,Virtual,1/20/2022,R&D Projects,"Join the Advanced Manufacturing Office for Day 2 of part 2 of a workshop about emerging technologies and opportunities to overcome key barriers in advanced packaging to improve energy efficiency of 3D microelectronics. During part 2 of the workshop, a foc",https://www.energy.gov/eere/amo/events/day-4-semiconductor-rd-energy-manufacturing-workshop-4-advanced-packaging-energy
High Performance Materials,Workshop,Day 3: Semiconductor R&D for Energy Efficiency: Workshop 4 - Advanced Packaging for Energy Efficient Microelectronics,Virtual,1/19/2022,R&D Projects,"Join the Advanced Manufacturing Office for Day 1 of part 2 of a workshop about emerging technologies and opportunities to overcome key barriers in advanced packaging to improve energy efficiency of 3D microelectronics. During part 2 of the workshop, a foc",https://www.energy.gov/eere/amo/events/day-3-semiconductor-rd-energy-manufacturing-workshop-4-advanced-packaging-energy
High Performance Materials,Workshop,Day 2: Semiconductor R&D for Energy Efficiency: Workshop 4 - Advanced Packaging for Energy Efficient Microelectronics,Virtual,1/13/2022,R&D Projects,"Join the Advanced Manufacturing Office for Day 2 of part 1 of a workshop about emerging technologies and opportunities to overcome key barriers in advanced packaging to improve energy efficiency of 3D microelectronics. During part 1 of the workshop, parti",https://www.energy.gov/eere/amo/events/day-2-semiconductor-rd-energy-manufacturing-workshop-4-advanced-packaging-energy
Energy Technology Manufacturing,Webinar,"	Geothermal Manufacturing Prize: Make! Contest Announcement",Virtual,1/13/2022,R&D Projects,"Join us at this virtual event for the announcement of the American-Made Geothermal Manufacturing Prize Make! contest finalists and see which teams advance to the Geo! contest, taking home part of $1 million in cash prizes and technical support.",
High Performance Materials,Workshop,Day 1: Semiconductor R&D for Energy Efficiency: Workshop 4 - Advanced Packaging for Energy Efficient Microelectronics,Virtual,1/12/2022,R&D Projects,"Join the Advanced Manufacturing Office for Day 1 of part 1 of a workshop about emerging technologies and opportunities to overcome key barriers in advanced packaging to improve energy efficiency of 3D microelectronics. During part 1 of the workshop, parti",https://www.energy.gov/eere/amo/events/day-1-semiconductor-rd-energy-manufacturing-workshop-4-advanced-packaging-energy
Energy Water Nexus,Workshop,Day 3: Water and Wastewater RD&D Series,Virtual,12/16/2021,R&D Projects,"Topic-specific breakout sessions in municipal water systems at all scales, small-scale community water systems for underserved communities, and a crowd-sourced topic to help inform future AMO RD&D investment.",https://www.energy.gov/eere/amo/events/day-3-water-wastewater-rdd-series
Energy Water Nexus,Workshop,Day 2: Water and Wastewater RD&D Series,Virtual,12/14/2021,R&D Projects,"Topic-specific breakout sessions in data, artificial intelligence, machine learning, and agriculture.",https://www.energy.gov/eere/amo/events/day-2-water-wastewater-rdd-series
Energy Water Nexus,Workshop,Day 1: Water and Wastewater RD&D Series,Virtual,12/7/2021,R&D Projects,"DOE is setting the stage on Day 1 to learn about currently funded AMO energy-water nexus programs, ongoing analysis, and perspectives from thought leaders in the sectors of Data, Agriculture, Municipalities/Utilities, and Small-scale community water syste",https://www.energy.gov/eere/amo/events/day-1-water-and-wastewater-rdd-series
Technical Assistance,Webinar,Lessons Learned from Better Plants Goal Achievers,Virtual,10/28/2021,Technical Partnerships,This Webinar was organized to showcase key lessons learned from Better Plants participants who achieved their energy or sustainability goals.,https://www.energy.gov/eere/amo/lessons-learned-better-plants-goal-achievers
Technical Assistance,Webinar,Understanding Your Water Bills ,Virtual,10/26/2021,Technical Partnerships,This Webinar was organized to help company decision-makers learn about and analyze their electricity bills. The webinar provides a detailed guide to users about how to use their electricity bills to maximize their plant's energy efficiency.,https://www.energy.gov/eere/amo/understanding-your-water-bills
